CC,DT,FF,ET,TEMP,VP,WDF,LUMPY
82.7,2.8,0,1.7,14,11.8,6.15,0
79,3.3,0,1.8,13.9,11.9,6.09,0
65,4.7,0,2.2,16,12.5,13.18,0
67.8,4.5,0,2.1,15.6,12.2,9.91,0
71.7,3.8,0,2,15.2,12.5,8.29,0
77,3.9,0,1.9,14.9,12.5,5.4,0
61.4,6.8,0,2.2,15.6,12.6,11.12,0
62,6.1,0,2.2,16.4,13.1,8.44,0
65.8,5.1,0,2.2,16.7,13.4,7.27,0
51.8,8.4,0,2.2,14.8,12.9,10.16,0
55.8,7.9,0,2.3,16.5,13.3,8.74,0
56.4,7.4,0,2.3,17,13.8,6.96,0
59.8,6.5,0,2.3,17.1,13.9,5.26,0
72.7,5.4,0,2,15.5,13.7,5.31,0
73.5,5.9,0,1.9,14.1,12.7,7.01,0
51.6,8.6,0,2.5,17,13.7,5.43,0
71.5,5.5,0,2.1,15.8,13.8,5.71,0
72,5.7,0,2,14.9,13.1,7.67,0
48.3,9,0,2.6,17.5,14,3.4,0
43.2,10,0,2.6,16.6,14.2,2.6,0
48.1,8.5,0,2.6,17.1,14,2.16,0
45.8,9,0,2.6,16.8,14.2,1.47,0
