CC,DT,FF,ET,VP,WDF,EVT,LUMPY
80.4,6.6,25.78,0.7,4.1,8.19,135,1
80.4,6.6,25.78,0.7,4.1,8.19,135,1
83.9,6.2,26.19,0.7,4.1,8.41,198,1
83.9,6.2,26.19,0.7,4.1,8.41,198,1
83.9,6.2,26.19,0.7,4.1,8.41,198,1
83.9,6.2,26.19,0.7,4.1,8.41,198,1
83.9,6.2,26.19,0.7,4.1,8.41,198,1
83.9,6.2,26.19,0.7,4.1,8.41,198,1
83.9,6.2,26.19,0.7,4.1,8.41,198,1
80.4,6.6,25.78,0.7,4.1,8.19,135,1
83.9,6.2,26.19,0.7,4.1,8.41,198,1
80.4,6.6,25.78,0.7,4.1,8.19,135,1
80.4,6.6,25.78,0.7,4.1,8.19,135,1
86.6,6,26.29,0.6,4.1,7.55,169,1
84.3,6.4,26.09,0.7,4.1,7.03,165,1
80.4,6.6,25.78,0.7,4.1,8.19,135,1
80.4,6.6,25.78,0.7,4.1,8.19,135,1
85.2,6,25.04,0.6,4.6,8.5,185,1
83.9,6.2,26.19,0.7,4.1,8.41,198,1
77.8,5.4,21.02,0.6,5.7,11.38,143,1
77.8,5.4,21.02,0.6,5.7,11.38,143,1
80.7,5.7,24.37,0.4,5.3,11.78,145,1
79.6,5.4,23.33,0.5,5.5,11.64,144,1
68.8,8.1,31,0.6,1.3,10.08,220,1
79.6,5.4,23.33,0.5,5.5,11.64,144,1
78.3,5.4,23.09,0.5,5.5,11.29,145,1
78.3,5.4,23.09,0.5,5.5,11.29,145,1
79.7,5.5,24.37,0.4,5.3,10.8,145,1
79.7,5.5,24.37,0.4,5.3,10.8,145,1
74.1,7.8,31,0.5,1.7,10.43,107,1
74.1,7.8,31,0.5,1.7,10.43,107,1
79.7,5.5,24.37,0.4,5.3,10.8,145,1
79.7,5.5,24.37,0.4,5.3,10.8,145,1
79.7,5.5,24.37,0.4,5.3,10.8,145,1
82.8,6.5,25.15,0.6,4.6,8.24,174,1
83.9,6.2,26.19,0.7,4.1,8.41,198,1
82.8,6.5,25.15,0.6,4.6,8.24,174,1
82.8,6.5,25.15,0.6,4.6,8.24,174,1
80.4,6.6,25.78,0.7,4.1,8.19,135,1
80.4,6.6,25.78,0.7,4.1,8.19,135,1
85.2,6,25.04,0.6,4.6,8.5,185,1
83.9,6.2,26.19,0.7,4.1,8.41,198,1
80.4,6.6,25.78,0.7,4.1,8.19,135,1
80.4,6.6,25.78,0.7,4.1,8.19,135,1
82.8,6.5,25.15,0.6,4.6,8.24,174,1
82.8,6.5,25.15,0.6,4.6,8.24,174,1
80.4,6.6,25.78,0.7,4.1,8.19,135,1
83.9,6.2,26.19,0.7,4.1,8.41,198,1
83.9,6.2,26.19,0.7,4.1,8.41,198,1
86.6,6,26.29,0.6,4.1,7.55,169,1
69.5,7.3,21.77,0.6,5.7,8.88,144,1
69.5,7.3,21.77,0.6,5.7,8.88,144,1
69.8,7.6,16.59,0.6,6.7,8.02,145,1
77.4,6.6,23.09,0.8,4.7,7.07,186,1
69.5,7.3,21.77,0.6,5.7,8.88,144,1
69.3,5.9,6.49,1.3,7.9,11.46,170,1
77.4,6.6,23.09,0.8,4.7,7.07,186,1
75.9,6.6,23.09,0.8,4.7,7.65,183,1
77.6,6.7,22.01,0.7,5.2,6.94,127,1
77.6,6.7,22.01,0.7,5.2,6.94,127,1
77.6,6.7,22.01,0.7,5.2,6.94,127,1
80.8,6.4,25.99,0.9,3.6,7.47,189,1
80.8,6.4,25.99,0.9,3.6,7.47,189,1
80.8,6.4,25.99,0.9,3.6,7.47,189,1
80.8,6.4,25.99,0.9,3.6,7.47,189,1
80.8,6.4,25.99,0.9,3.6,7.47,189,1
80.8,6.4,25.99,0.9,3.6,7.47,189,1
80.8,6.4,25.99,0.9,3.6,7.47,189,1
80.8,6.4,25.99,0.9,3.6,7.47,189,1
80.8,6.4,25.99,0.9,3.6,7.47,189,1
80.8,6.4,25.99,0.9,3.6,7.47,189,1
80.8,6.4,25.99,0.9,3.6,7.47,189,1
80.8,6.4,25.99,0.9,3.6,7.47,189,1
86.2,5.5,24.37,0.4,5.3,7.21,149,1
80.8,6.4,25.99,0.9,3.6,7.47,189,1
82.2,6.7,27.67,0.6,3.7,7.84,203,1
83.2,6.8,25.04,0.6,4.7,6.73,156,1
77.6,6.7,27.14,0.9,3.2,7.92,207,1
71.7,6.9,21.27,0.8,5.4,8.06,181,1
80.7,7.2,23.33,0.5,5.7,7,155,1
80.7,7.2,23.33,0.5,5.7,7,155,1
80.7,7.2,23.33,0.5,5.7,7,155,1
82.3,7.4,24.26,0.5,5.4,6.63,154,1
83.2,6.8,25.04,0.6,4.7,6.73,156,1
71.7,6.9,21.27,0.8,5.4,8.06,181,1
80.8,6.4,25.99,0.9,3.6,7.47,189,1
80.8,6.4,25.99,0.9,3.6,7.47,189,1
77.4,6.6,23.09,0.8,4.7,7.07,186,1
79.6,6.4,26.87,0.8,3.2,7.72,181,1
77.4,6.6,23.09,0.8,4.7,7.07,186,1
78,6.6,27.32,1,2.9,7.81,173,1
79.6,6.4,26.87,0.8,3.2,7.72,181,1
82.3,7.4,24.26,0.5,5.4,6.63,154,1
78,6.6,27.32,1,2.9,7.81,173,1
78,6.6,27.32,1,2.9,7.81,173,1
78,6.6,27.32,1,2.9,7.81,173,1
78,6.6,27.32,1,2.9,7.81,173,1
78,6.6,27.32,1,2.9,7.81,173,1
80.8,6.4,25.99,0.9,3.6,7.47,189,1
83.2,6.8,25.04,0.6,4.7,6.73,156,1
77.6,6.7,22.01,0.7,5.2,6.94,127,1
79.6,6.4,26.87,0.8,3.2,7.72,181,1
80.8,6.4,25.99,0.9,3.6,7.47,189,1
80.8,6.4,25.99,0.9,3.6,7.47,189,1
77.4,6.6,23.09,0.8,4.7,7.07,186,1
77.4,6.6,23.09,0.8,4.7,7.07,186,1
